,model_combo,convs.0_pctsame,convs.0_jaccard,convs.2_pctsame,convs.2_jaccard,convs.5_pctsame,convs.5_jaccard,convs.7_pctsame,convs.7_jaccard,convs.10_pctsame,convs.10_jaccard,convs.12_pctsame,convs.12_jaccard,linear.0_pctsame,linear.0_jaccard,linear.2_pctsame,linear.2_jaccard,linear.4_pctsame,linear.4_jaccard,total_same,total_weights,total_ones_same,percent_same_total,jaccard_total
0,"(0, 1)",0.7395833333333334,0.5867768595041323,0.5517578125,0.38098449089683073,0.5473904079861112,0.3768324338456367,0.5642225477430556,0.3929735397753573,0.5699598524305556,0.39856213365707455,0.5871175130208334,0.41554589177202433,0.5823154449462891,0.41075106790891663,0.556182861328125,0.38521696856967724,0.66875,0.5023474178403756,1308322,2261184,654161,0.5786004146500241,0.28930020732501205
0,"(0, 2)",0.7395833333333334,0.5867768595041323,0.5545247395833334,0.3836279698232181,0.5526529947916666,0.3818386280573517,0.5626491970486112,0.39144876525152633,0.5712958441840278,0.3998699393841582,0.5884467230902778,0.41687886154644427,0.5821380615234375,0.41057457410058007,0.554595947265625,0.38369613411312625,0.665625,0.49882903981264637,1309460,2261184,654730,0.5791036908097704,0.2895518454048852
0,"(0, 3)",0.7141203703703703,0.5553555355535553,0.5513780381944444,0.38062244859743083,0.5512424045138888,0.38049319377609675,0.5619981553819444,0.3908188000490469,0.5707939995659722,0.3993783956914755,0.5891147189670138,0.41754969513587303,0.5821037292480469,0.4105404191093187,0.55804443359375,0.387005291005291,0.67109375,0.5049970605526161,1309550,2261184,654775,0.5791434929665167,0.28957174648325834
0,"(0, 4)",0.7453703703703703,0.5940959409594095,0.5626627604166666,0.39146189559506284,0.5476616753472222,0.37708959823679933,0.5618353949652778,0.3906613978667019,0.5698784722222222,0.3984825493171472,0.5878567165798612,0.41628687646773505,0.5802383422851562,0.4086871476858096,0.55615234375,0.385187690226581,0.67265625,0.5067686874632137,1306644,2261184,653322,0.5778583255498004,0.2889291627749002
0,"(0, 5)",0.7222222222222222,0.5652173913043478,0.54248046875,0.37219430485762145,0.5504828559027778,0.3797698137924581,0.5635986328125,0.3923684881448118,0.56829833984375,0.3969390800187577,0.5879279242621528,0.41635829669313723,0.5810222625732422,0.40946538289381185,0.559814453125,0.3887099508391253,0.66328125,0.4962010520163647,1306942,2261184,653471,0.577990114913249,0.2889950574566245
0,"(0, 6)",0.7245370370370371,0.5680580762250453,0.5632595486111112,0.3920398761422853,0.5491536458333334,0.3785057213372223,0.5601128472222222,0.3889977392614921,0.5688815646701388,0.3975083757054784,0.5879787868923612,0.41640931555009103,0.5809326171875,0.4093763440860215,0.550506591796875,0.3797924079415542,0.6609375,0.4935822637106184,1306592,2261184,653296,0.5778353287481248,0.2889176643740624
0,"(0, 7)",0.7268518518518519,0.5709090909090909,0.5478515625,0.3772696704774714,0.5478244357638888,0.37724394298843705,0.564453125,0.39319727891156464,0.5694105360243056,0.39802511507520777,0.5878194173177084,0.416249468747974,0.5813655853271484,0.40980648665654706,0.555877685546875,0.3849242408233131,0.6671875,0.5005861664712778,1307454,2261184,653727,0.5782165449605162,0.2891082724802581
0,"(0, 8)",0.7592592592592593,0.6119402985074627,0.5502387152777778,0.37953745977097525,0.5469021267361112,0.3763697799018052,0.5633002387152778,0.3920793013924947,0.5691053602430556,0.3977269495815047,0.5888943142361112,0.4173282838962687,0.5823040008544922,0.4107396798788076,0.560791015625,0.38965224766751483,0.65390625,0.485780615206036,1309176,2261184,654588,0.5789780928929269,0.28948904644646345
0,"(0, 9)",0.7210648148148148,0.5638009049773756,0.5528971354166666,0.3820717579574851,0.5473361545138888,0.3767810124927639,0.56201171875,0.3908319185059423,0.5711737738715278,0.3997503429225066,0.5891927083333334,0.41762805722196583,0.581451416015625,0.4098917883957576,0.551849365234375,0.3810717973573852,0.6625,0.4953271028037383,1308378,2261184,654189,0.578625180436444,0.289312590218222
0,"(0, 10)",0.7592592592592593,0.6119402985074627,0.5556640625,0.38471940500338064,0.5506727430555556,0.3799505877068204,0.5598958333333334,0.3887884267631103,0.5714111328125,0.3999829103648637,0.5891452365451388,0.41758035752911715,0.5815963745117188,0.4100358769962294,0.54888916015625,0.378254468980021,0.66015625,0.49271137026239065,1308474,2261184,654237,0.5786676360703066,0.2893338180351533
0,"(0, 11)",0.7314814814814815,0.5766423357664233,0.5516493055555556,0.38088103086604735,0.5508897569444444,0.3801572444777237,0.5616319444444444,0.3904646952323476,0.5687459309895834,0.39737593995650256,0.5889824761284722,0.417416840091703,0.5825977325439453,0.4110320308641726,0.559326171875,0.38823928147771564,0.6640625,0.49707602339181284,1309412,2261184,654706,0.5790824629928392,0.2895412314964196
0,"(0, 12)",0.7222222222222222,0.5652173913043478,0.5557183159722222,0.38477142105856277,0.5455457899305556,0.37508625995486505,0.5599093967013888,0.38880150694607957,0.5697496202256944,0.3983565593008976,0.5884772406684028,0.4169094949252297,0.5819854736328125,0.4104227867988077,0.55523681640625,0.3843099150859702,0.68359375,0.5192878338278932,1308036,2261184,654018,0.5784739322408083,0.28923696612040417
0,"(0, 13)",0.7256944444444444,0.5694822888283378,0.5490451388888888,0.3784026323661382,0.5442708333333334,0.3738819320214669,0.5625271267361112,0.39133060330999603,0.5701565212673612,0.39875449987905465,0.58856201171875,0.4169945945945946,0.5811634063720703,0.4096055944582385,0.5548095703125,0.38390066728608835,0.6703125,0.5041128084606346,1307334,2261184,653667,0.578163475418188,0.289081737709094
0,"(0, 14)",0.7326388888888888,0.5780821917808219,0.5455729166666666,0.37511190689346463,0.5453830295138888,0.3749323984111296,0.5614691840277778,0.39030737318498965,0.5708279079861112,0.39941159722881275,0.5878872341579862,0.4163174842537742,0.5820884704589844,0.41052523964411874,0.564361572265625,0.3931084327104989,0.67421875,0.5085444902769594,1308550,2261184,654275,0.5787012467804478,0.2893506233902239
0,"(1, 2)",0.7418981481481481,0.5896964121435143,0.5640190972222222,0.3927761825600725,0.5410970052083334,0.3708930663245384,0.5638970269097222,0.3926577950718259,0.5681694878472222,0.39681336794043537,0.5878838433159722,0.41631408332332814,0.5824527740478516,0.41088773861246525,0.557769775390625,0.38674114983389407,0.66953125,0.5032295948326483,1308440,2261184,654220,0.5786525996999802,0.2893262998499901
0,"(1, 3)",0.7280092592592593,0.5723384895359418,0.5392795138888888,0.3691873421482692,0.546630859375,0.376112884260037,0.5598958333333334,0.3887884267631103,0.568603515625,0.3972369094320314,0.5887213812934028,0.4171546096496181,0.5820064544677734,0.4104436556157415,0.552154541015625,0.3813628986362583,0.6515625,0.4831981460023175,1307062,2261184,653531,0.5780431844555772,0.2890215922277886
0,"(1, 4)",0.7280092592592593,0.5723384895359418,0.5463324652777778,0.3758304097932373,0.5429416232638888,0.37262860015266325,0.5589057074652778,0.3878342384398912,0.5703464084201388,0.3989402830023101,0.5890570746527778,0.4174917809009286,0.5813655853271484,0.40980648665654706,0.5660400390625,0.39473908231888993,0.66796875,0.501466275659824,1307896,2261184,653948,0.5784120177747587,0.28920600888737935
0,"(1, 5)",0.7152777777777778,0.5567567567567567,0.5431857638888888,0.3728586325040965,0.5489637586805556,0.37832532575573463,0.5618625217013888,0.39068762908960586,0.5708075629340278,0.3993916761173562,0.5885993109809028,0.4170320416875881,0.5822544097900391,0.41069033387281434,0.566070556640625,0.3947687658288463,0.675,0.5094339622641509,1309456,2261184,654728,0.5791019218250262,0.2895509609125131
