,model_combo,convs.0,convs.2,convs.5,convs.7,convs.10,convs.12,linear.0,linear.2,linear.4,total same,total weights,percent shared total
0,"(0, 1)",0.7280092592592593,0.5324435763888888,0.51611328125,0.5085177951388888,0.5038180881076388,0.5096198187934028,0.5027275085449219,0.537933349609375,0.5375,1146868,2261184,0.5071979989244573
0,"(0, 2)",0.7256944444444444,0.5452473958333334,0.5187717013888888,0.5045301649305556,0.50469970703125,0.5105421278211806,0.5035266876220703,0.54534912109375,0.56484375,1149142,2261184,0.5082036667515779
0,"(0, 3)",0.6921296296296297,0.5157335069444444,0.5041775173611112,0.5084092881944444,0.5030721028645834,0.5091417100694444,0.5036201477050781,0.5433349609375,0.55234375,1146120,2261184,0.5068671987772777
0,"(0, 4)",0.71875,0.5404730902777778,0.5063747829861112,0.5072428385416666,0.50543212890625,0.5091993543836806,0.5038471221923828,0.538482666015625,0.57109375,1147766,2261184,0.5075951359995471
0,"(0, 5)",0.7199074074074074,0.5276150173611112,0.5163845486111112,0.5111762152777778,0.5020480685763888,0.5084737141927084,0.5039138793945312,0.542236328125,0.57421875,1147510,2261184,0.5074819209759135
0,"(0, 6)",0.7141203703703703,0.5240885416666666,0.51416015625,0.5048285590277778,0.5042588975694444,0.50982666015625,0.5032329559326172,0.549957275390625,0.5625,1147482,2261184,0.5074695380827036
0,"(0, 7)",0.7326388888888888,0.5384657118055556,0.5194769965277778,0.5060085720486112,0.5054456922743056,0.5084431966145834,0.5038909912109375,0.546630859375,0.55546875,1148598,2261184,0.5079630848263564
0,"(0, 8)",0.6898148148148148,0.5251193576388888,0.5171712239583334,0.5088568793402778,0.5020684136284722,0.5099589029947916,0.5032882690429688,0.55426025390625,0.5671875,1148078,2261184,0.5077331168096006
0,"(0, 9)",0.6898148148148148,0.5214301215277778,0.5154622395833334,0.5058729383680556,0.5044623480902778,0.5102030436197916,0.5040626525878906,0.546966552734375,0.58125,1148596,2261184,0.5079622003339843
0,"(0, 10)",0.7118055555555556,0.5216471354166666,0.5155978732638888,0.5103624131944444,0.5050116644965278,0.5099962022569444,0.5034980773925781,0.53607177734375,0.5640625,1148004,2261184,0.5077003905918316
0,"(0, 11)",0.7210648148148148,0.5227322048611112,0.5189073350694444,0.5048556857638888,0.5037027994791666,0.507843017578125,0.5039997100830078,0.550750732421875,0.56875,1147336,2261184,0.5074049701395376
0,"(0, 12)",0.7106481481481481,0.5255533854166666,0.5189615885416666,0.5103759765625,0.5032619900173612,0.5098368326822916,0.5031967163085938,0.55633544921875,0.5859375,1148854,2261184,0.5080762998499901
0,"(0, 13)",0.7037037037037037,0.5160590277777778,0.5051812065972222,0.5063883463541666,0.5058322482638888,0.509368896484375,0.5032501220703125,0.543365478515625,0.55546875,1146498,2261184,0.5070343678356117
0,"(0, 14)",0.7199074074074074,0.5381401909722222,0.515625,0.5047200520833334,0.5048285590277778,0.5084160698784722,0.5043678283691406,0.558135986328125,0.57578125,1149198,2261184,0.5082284325379978
0,"(1, 2)",0.7210648148148148,0.5428602430555556,0.5176866319444444,0.5071207682291666,0.5038384331597222,0.5106540256076388,0.5025768280029297,0.531768798828125,0.546875,1147228,2261184,0.5073572075514421
0,"(1, 3)",0.7129629629629629,0.5303276909722222,0.5110677083333334,0.5048149956597222,0.5028415256076388,0.5116746690538194,0.5041332244873047,0.54425048828125,0.565625,1148730,2261184,0.5080214613229176
0,"(1, 4)",0.7430555555555556,0.5381401909722222,0.5112575954861112,0.5094265407986112,0.5028143988715278,0.5093451605902778,0.5031852722167969,0.537322998046875,0.5625,1146926,2261184,0.5072236492032492
0,"(1, 5)",0.7256944444444444,0.5168728298611112,0.5176595052083334,0.5080430772569444,0.5019259982638888,0.5098775227864584,0.5036697387695312,0.549713134765625,0.565625,1147760,2261184,0.5075924825224307
0,"(1, 6)",0.7141203703703703,0.5310872395833334,0.5089246961805556,0.5098198784722222,0.5055813259548612,0.5100775824652778,0.5041980743408203,0.538665771484375,0.534375,1148828,2261184,0.5080648014491523
0,"(1, 7)",0.7164351851851852,0.5299479166666666,0.5138888888888888,0.5091145833333334,0.5035400390625,0.5105251736111112,0.5031604766845703,0.551971435546875,0.57578125,1148604,2261184,0.5079657383034729
0,"(1, 8)",0.7303240740740741,0.53369140625,0.5141330295138888,0.5066053602430556,0.5045640733506944,0.5108506944444444,0.5031414031982422,0.54278564453125,0.5515625,1148224,2261184,0.5077976847527667
0,"(1, 9)",0.7418981481481481,0.5352647569444444,0.5111219618055556,0.5084906684027778,0.5022108289930556,0.5102132161458334,0.5033130645751953,0.547454833984375,0.56171875,1147800,2261184,0.5076101723698735
0,"(1, 10)",0.7372685185185185,0.5145941840277778,0.5107693142361112,0.5088297526041666,0.50408935546875,0.5102166069878472,0.5031986236572266,0.5421142578125,0.55390625,1147120,2261184,0.5073094449633466
0,"(1, 11)",0.7476851851851852,0.5428059895833334,0.5136990017361112,0.5063340928819444,0.5028822157118056,0.5105997721354166,0.5050106048583984,0.543975830078125,0.571875,1149964,2261184,0.5085671931165265
0,"(1, 12)",0.71875,0.5447591145833334,0.5118001302083334,0.5080430772569444,0.5048760308159722,0.5099080403645834,0.5039024353027344,0.5419921875,0.5578125,1148950,2261184,0.5081187554838527
0,"(1, 13)",0.7662037037037037,0.5545789930555556,0.508544921875,0.5067545572916666,0.5043809678819444,0.5096978081597222,0.5020790100097656,0.538665771484375,0.57109375,1146598,2261184,0.5070785924542187
0,"(1, 14)",0.7488425925925926,0.5463324652777778,0.5105251736111112,0.5105929904513888,0.5035536024305556,0.5100674099392362,0.5035552978515625,0.545440673828125,0.559375,1148912,2261184,0.5081019501287821
0,"(2, 3)",0.7037037037037037,0.5266927083333334,0.5075141059027778,0.5084228515625,0.5039333767361112,0.5102064344618056,0.5042495727539062,0.549957275390625,0.5640625,1148798,2261184,0.5080515340635703
0,"(2, 4)",0.7083333333333334,0.5294596354166666,0.5108506944444444,0.5079752604166666,0.5034315321180556,0.509429931640625,0.5030441284179688,0.547576904296875,0.5625,1147058,2261184,0.5072820256998104
0,"(2, 5)",0.7291666666666666,0.5290256076388888,0.5186089409722222,0.5075412326388888,0.5032552083333334,0.5088772243923612,0.5043373107910156,0.554443359375,0.575,1149046,2261184,0.5081612111177153
