,model_combo,convs.0,convs.2,convs.5,convs.7,convs.10,convs.12,linear.0,linear.2,linear.4,total same,total weights,percent shared total
0,"(0, 1)",0.7395833333333334,0.5517578125,0.5473904079861112,0.5642225477430556,0.5699598524305556,0.5871175130208334,0.5823154449462891,0.556182861328125,0.66875,1308322,2261184,0.5786004146500241
0,"(0, 2)",0.7395833333333334,0.5545247395833334,0.5526529947916666,0.5626491970486112,0.5712958441840278,0.5884467230902778,0.5821380615234375,0.554595947265625,0.665625,1309460,2261184,0.5791036908097704
0,"(0, 3)",0.7141203703703703,0.5513780381944444,0.5512424045138888,0.5619981553819444,0.5707939995659722,0.5891147189670138,0.5821037292480469,0.55804443359375,0.67109375,1309550,2261184,0.5791434929665167
0,"(0, 4)",0.7453703703703703,0.5626627604166666,0.5476616753472222,0.5618353949652778,0.5698784722222222,0.5878567165798612,0.5802383422851562,0.55615234375,0.67265625,1306644,2261184,0.5778583255498004
0,"(0, 5)",0.7222222222222222,0.54248046875,0.5504828559027778,0.5635986328125,0.56829833984375,0.5879279242621528,0.5810222625732422,0.559814453125,0.66328125,1306942,2261184,0.577990114913249
0,"(0, 6)",0.7245370370370371,0.5632595486111112,0.5491536458333334,0.5601128472222222,0.5688815646701388,0.5879787868923612,0.5809326171875,0.550506591796875,0.6609375,1306592,2261184,0.5778353287481248
0,"(0, 7)",0.7268518518518519,0.5478515625,0.5478244357638888,0.564453125,0.5694105360243056,0.5878194173177084,0.5813655853271484,0.555877685546875,0.6671875,1307454,2261184,0.5782165449605162
0,"(0, 8)",0.7592592592592593,0.5502387152777778,0.5469021267361112,0.5633002387152778,0.5691053602430556,0.5888943142361112,0.5823040008544922,0.560791015625,0.65390625,1309176,2261184,0.5789780928929269
0,"(0, 9)",0.7210648148148148,0.5528971354166666,0.5473361545138888,0.56201171875,0.5711737738715278,0.5891927083333334,0.581451416015625,0.551849365234375,0.6625,1308378,2261184,0.578625180436444
0,"(0, 10)",0.7592592592592593,0.5556640625,0.5506727430555556,0.5598958333333334,0.5714111328125,0.5891452365451388,0.5815963745117188,0.54888916015625,0.66015625,1308474,2261184,0.5786676360703066
0,"(0, 11)",0.7314814814814815,0.5516493055555556,0.5508897569444444,0.5616319444444444,0.5687459309895834,0.5889824761284722,0.5825977325439453,0.559326171875,0.6640625,1309412,2261184,0.5790824629928392
0,"(0, 12)",0.7222222222222222,0.5557183159722222,0.5455457899305556,0.5599093967013888,0.5697496202256944,0.5884772406684028,0.5819854736328125,0.55523681640625,0.68359375,1308036,2261184,0.5784739322408083
0,"(0, 13)",0.7256944444444444,0.5490451388888888,0.5442708333333334,0.5625271267361112,0.5701565212673612,0.58856201171875,0.5811634063720703,0.5548095703125,0.6703125,1307334,2261184,0.578163475418188
0,"(0, 14)",0.7326388888888888,0.5455729166666666,0.5453830295138888,0.5614691840277778,0.5708279079861112,0.5878872341579862,0.5820884704589844,0.564361572265625,0.67421875,1308550,2261184,0.5787012467804478
0,"(1, 2)",0.7418981481481481,0.5640190972222222,0.5410970052083334,0.5638970269097222,0.5681694878472222,0.5878838433159722,0.5824527740478516,0.557769775390625,0.66953125,1308440,2261184,0.5786525996999802
0,"(1, 3)",0.7280092592592593,0.5392795138888888,0.546630859375,0.5598958333333334,0.568603515625,0.5887213812934028,0.5820064544677734,0.552154541015625,0.6515625,1307062,2261184,0.5780431844555772
0,"(1, 4)",0.7280092592592593,0.5463324652777778,0.5429416232638888,0.5589057074652778,0.5703464084201388,0.5890570746527778,0.5813655853271484,0.5660400390625,0.66796875,1307896,2261184,0.5784120177747587
0,"(1, 5)",0.7152777777777778,0.5431857638888888,0.5489637586805556,0.5618625217013888,0.5708075629340278,0.5885993109809028,0.5822544097900391,0.566070556640625,0.675,1309456,2261184,0.5791019218250262
