Thu Dec 14 22:19:24 2023 Epoch 26, lr: 0.0000997, val loss: 82.15898, acc: 71.00000
Thu Dec 14 22:19:32 2023 Epoch 30, lr: 0.0000997, val loss: 72.36522, acc: 74.74000
Thu Dec 14 22:21:51 2023 Epoch 31, lr: 0.0000996, val loss: 71.15352, acc: 75.82000
Thu Dec 14 22:21:54 2023 Epoch 27, lr: 0.0000997, val loss: 85.99105, acc: 70.12000
Thu Dec 14 22:24:05 2023 Epoch 32, lr: 0.0000996, val loss: 71.40587, acc: 75.14000
Thu Dec 14 22:24:30 2023 Epoch 28, lr: 0.0000997, val loss: 80.04542, acc: 71.91000
Thu Dec 14 22:26:25 2023 Epoch 33, lr: 0.0000996, val loss: 68.43312, acc: 76.16000
Thu Dec 14 22:27:05 2023 Epoch 29, lr: 0.0000997, val loss: 79.72793, acc: 72.46000
Thu Dec 14 22:28:39 2023 Epoch 34, lr: 0.0000996, val loss: 70.22318, acc: 76.11000
Thu Dec 14 22:29:35 2023 Epoch 30, lr: 0.0000997, val loss: 83.14206, acc: 71.18000
Thu Dec 14 22:30:52 2023 Epoch 35, lr: 0.0000995, val loss: 70.60489, acc: 75.39000
Thu Dec 14 22:32:11 2023 Epoch 31, lr: 0.0000996, val loss: 75.36907, acc: 73.62000
Thu Dec 14 22:33:12 2023 Epoch 36, lr: 0.0000995, val loss: 66.31341, acc: 76.85000
Thu Dec 14 22:34:40 2023 Epoch 32, lr: 0.0000996, val loss: 77.04809, acc: 72.95000
Thu Dec 14 22:35:26 2023 Epoch 37, lr: 0.0000995, val loss: 67.79889, acc: 76.34000
Thu Dec 14 22:37:16 2023 Epoch 33, lr: 0.0000996, val loss: 74.76993, acc: 73.75000
Thu Dec 14 22:37:39 2023 Epoch 38, lr: 0.0000994, val loss: 69.46444, acc: 76.24000
Thu Dec 14 22:39:52 2023 Epoch 34, lr: 0.0000996, val loss: 75.62835, acc: 74.18000
Thu Dec 14 22:39:59 2023 Epoch 39, lr: 0.0000994, val loss: 64.86947, acc: 77.59000
Thu Dec 14 22:42:19 2023 Epoch 40, lr: 0.0000994, val loss: 64.43668, acc: 77.64000
Thu Dec 14 22:42:21 2023 Epoch 35, lr: 0.0000995, val loss: 77.61729, acc: 72.40000
Thu Dec 14 22:44:33 2023 Epoch 41, lr: 0.0000993, val loss: 67.38279, acc: 76.59000
Thu Dec 14 22:44:59 2023 Epoch 36, lr: 0.0000995, val loss: 73.97822, acc: 74.69000
Thu Dec 14 22:46:46 2023 Epoch 42, lr: 0.0000993, val loss: 66.27377, acc: 77.26000
Thu Dec 14 22:47:28 2023 Epoch 37, lr: 0.0000995, val loss: 74.20748, acc: 74.09000
Thu Dec 14 22:49:00 2023 Epoch 43, lr: 0.0000993, val loss: 66.81219, acc: 77.25000
Thu Dec 14 22:49:58 2023 Epoch 38, lr: 0.0000994, val loss: 75.07879, acc: 74.07000
Thu Dec 14 22:51:20 2023 Epoch 44, lr: 0.0000992, val loss: 65.09976, acc: 78.00000
Thu Dec 14 22:52:28 2023 Epoch 39, lr: 0.0000994, val loss: 74.90198, acc: 73.70000
Thu Dec 14 22:53:39 2023 Epoch 45, lr: 0.0000992, val loss: 61.75783, acc: 78.73000
Thu Dec 14 22:54:58 2023 Epoch 40, lr: 0.0000994, val loss: 74.34277, acc: 73.77000
Thu Dec 14 22:55:53 2023 Epoch 46, lr: 0.0000992, val loss: 64.61957, acc: 78.33000
Thu Dec 14 22:57:28 2023 Epoch 41, lr: 0.0000993, val loss: 73.31372, acc: 74.29000
Thu Dec 14 22:58:13 2023 Epoch 47, lr: 0.0000991, val loss: 61.93760, acc: 78.76000
Thu Dec 14 22:59:58 2023 Epoch 42, lr: 0.0000993, val loss: 74.69161, acc: 74.32000
Thu Dec 14 23:00:26 2023 Epoch 48, lr: 0.0000991, val loss: 64.51975, acc: 78.17000
Thu Dec 14 23:02:33 2023 Epoch 43, lr: 0.0000993, val loss: 72.07315, acc: 74.81000
Thu Dec 14 23:02:40 2023 Epoch 49, lr: 0.0000990, val loss: 64.78943, acc: 78.06000
Thu Dec 14 23:04:54 2023 Epoch 50, lr: 0.0000990, val loss: 63.75326, acc: 78.46000
Thu Dec 14 23:05:09 2023 Epoch 44, lr: 0.0000992, val loss: 72.67295, acc: 75.17000
Thu Dec 14 23:07:08 2023 Epoch 51, lr: 0.0000990, val loss: 63.83437, acc: 78.26000
Thu Dec 14 23:07:44 2023 Epoch 45, lr: 0.0000992, val loss: 69.98507, acc: 75.51000
Thu Dec 14 23:09:27 2023 Epoch 52, lr: 0.0000989, val loss: 62.09528, acc: 78.81000
Thu Dec 14 23:10:20 2023 Epoch 46, lr: 0.0000992, val loss: 70.66339, acc: 75.82000
Thu Dec 14 23:11:41 2023 Epoch 53, lr: 0.0000989, val loss: 63.38890, acc: 78.58000
