Thu Dec 14 22:50:44 2023 Epoch 27, lr: 0.0000997, val loss: 89.93293, acc: 68.52000
Thu Dec 14 22:53:25 2023 Epoch 32, lr: 0.0000996, val loss: 78.48158, acc: 72.42000
Thu Dec 14 22:54:28 2023 Epoch 28, lr: 0.0000997, val loss: 89.53149, acc: 68.46000
Thu Dec 14 22:57:39 2023 Epoch 33, lr: 0.0000996, val loss: 76.93249, acc: 73.15000
Thu Dec 14 22:58:12 2023 Epoch 29, lr: 0.0000997, val loss: 90.07576, acc: 68.26000
Thu Dec 14 23:01:59 2023 Epoch 30, lr: 0.0000997, val loss: 86.93529, acc: 69.05000
Thu Dec 14 23:02:01 2023 Epoch 34, lr: 0.0000996, val loss: 76.44112, acc: 73.33000
Thu Dec 14 23:05:45 2023 Epoch 31, lr: 0.0000996, val loss: 87.36431, acc: 69.15000
Thu Dec 14 23:06:20 2023 Epoch 35, lr: 0.0000995, val loss: 76.26967, acc: 73.02000
Thu Dec 14 23:09:31 2023 Epoch 32, lr: 0.0000996, val loss: 80.69575, acc: 71.51000
Thu Dec 14 23:10:36 2023 Epoch 36, lr: 0.0000995, val loss: 75.94259, acc: 73.11000
Thu Dec 14 23:13:16 2023 Epoch 33, lr: 0.0000996, val loss: 82.55885, acc: 71.26000
Thu Dec 14 23:14:55 2023 Epoch 37, lr: 0.0000995, val loss: 73.63767, acc: 73.86000
Thu Dec 14 23:16:59 2023 Epoch 34, lr: 0.0000996, val loss: 80.76592, acc: 71.29000
Thu Dec 14 23:18:21 2023 Epoch 38, lr: 0.0000994, val loss: 77.23172, acc: 72.36000
Thu Dec 14 23:20:44 2023 Epoch 35, lr: 0.0000995, val loss: 81.94759, acc: 71.17000
Thu Dec 14 23:21:38 2023 Epoch 39, lr: 0.0000994, val loss: 71.99937, acc: 74.62000
Thu Dec 14 23:24:08 2023 Epoch 40, lr: 0.0000994, val loss: 74.94814, acc: 73.72000
Thu Dec 14 23:24:30 2023 Epoch 36, lr: 0.0000995, val loss: 78.93860, acc: 72.22000
Thu Dec 14 23:26:01 2023 Epoch 41, lr: 0.0000993, val loss: 71.43212, acc: 75.01000
Thu Dec 14 23:27:53 2023 Epoch 42, lr: 0.0000993, val loss: 73.09544, acc: 74.76000
Thu Dec 14 23:28:15 2023 Epoch 37, lr: 0.0000995, val loss: 78.60368, acc: 72.21000
Thu Dec 14 23:29:48 2023 Epoch 43, lr: 0.0000993, val loss: 72.88017, acc: 74.97000
Thu Dec 14 23:31:54 2023 Epoch 44, lr: 0.0000992, val loss: 71.53437, acc: 75.43000
Thu Dec 14 23:31:59 2023 Epoch 38, lr: 0.0000994, val loss: 84.80761, acc: 70.47000
Thu Dec 14 23:35:46 2023 Epoch 39, lr: 0.0000994, val loss: 77.06119, acc: 72.72000
Thu Dec 14 23:36:13 2023 Epoch 45, lr: 0.0000992, val loss: 70.45822, acc: 75.67000
Thu Dec 14 23:39:30 2023 Epoch 40, lr: 0.0000994, val loss: 79.26627, acc: 72.34000
Thu Dec 14 23:40:34 2023 Epoch 46, lr: 0.0000992, val loss: 70.39039, acc: 75.20000
Thu Dec 14 23:43:17 2023 Epoch 41, lr: 0.0000993, val loss: 75.74733, acc: 73.42000
Thu Dec 14 23:44:55 2023 Epoch 47, lr: 0.0000991, val loss: 71.12065, acc: 74.85000
Thu Dec 14 23:47:02 2023 Epoch 42, lr: 0.0000993, val loss: 76.50406, acc: 73.51000
Thu Dec 14 23:49:16 2023 Epoch 48, lr: 0.0000991, val loss: 72.29452, acc: 74.36000
Thu Dec 14 23:50:46 2023 Epoch 43, lr: 0.0000993, val loss: 80.64346, acc: 71.23000
Thu Dec 14 23:53:38 2023 Epoch 49, lr: 0.0000990, val loss: 72.07187, acc: 74.49000
Thu Dec 14 23:54:30 2023 Epoch 44, lr: 0.0000992, val loss: 77.19493, acc: 72.87000
Thu Dec 14 23:57:58 2023 Epoch 50, lr: 0.0000990, val loss: 70.73920, acc: 75.48000
Thu Dec 14 23:58:18 2023 Epoch 45, lr: 0.0000992, val loss: 75.91379, acc: 73.55000
Fri Dec 15 00:02:02 2023 Epoch 46, lr: 0.0000992, val loss: 75.81350, acc: 73.30000
Fri Dec 15 00:02:09 2023 Epoch 51, lr: 0.0000990, val loss: 70.39622, acc: 75.40000
Fri Dec 15 00:05:34 2023 Epoch 52, lr: 0.0000989, val loss: 68.69908, acc: 75.76000
Fri Dec 15 00:05:46 2023 Epoch 47, lr: 0.0000991, val loss: 78.43318, acc: 72.22000
Fri Dec 15 00:09:07 2023 Epoch 53, lr: 0.0000989, val loss: 70.16050, acc: 75.62000
Fri Dec 15 00:09:32 2023 Epoch 48, lr: 0.0000991, val loss: 74.74854, acc: 73.92000
Fri Dec 15 00:11:04 2023 Epoch 54, lr: 0.0000988, val loss: 67.77524, acc: 76.45000
Fri Dec 15 00:12:58 2023 Epoch 55, lr: 0.0000988, val loss: 68.36383, acc: 76.84000
Fri Dec 15 00:13:17 2023 Epoch 49, lr: 0.0000990, val loss: 79.34869, acc: 72.73000
Fri Dec 15 00:14:50 2023 Epoch 56, lr: 0.0000987, val loss: 69.95965, acc: 75.73000
Fri Dec 15 00:16:45 2023 Epoch 57, lr: 0.0000987, val loss: 69.38503, acc: 76.02000
Fri Dec 15 00:17:03 2023 Epoch 50, lr: 0.0000990, val loss: 74.05364, acc: 74.12000
Fri Dec 15 00:19:16 2023 Epoch 58, lr: 0.0000986, val loss: 68.22939, acc: 76.55000
Fri Dec 15 00:20:48 2023 Epoch 51, lr: 0.0000990, val loss: 77.06503, acc: 72.69000
