Sat Dec 16 00:28:48 2023 Epoch 29, lr: 0.0000997, val loss: 84.94972, acc: 72.79000
Sat Dec 16 00:35:54 2023 Epoch 29, lr: 0.0000997, val loss: 88.53296, acc: 68.84000
Sat Dec 16 00:45:15 2023 Epoch 30, lr: 0.0000997, val loss: 81.88520, acc: 73.17000
Sat Dec 16 00:52:33 2023 Epoch 30, lr: 0.0000997, val loss: 86.88062, acc: 69.69000
Sat Dec 16 01:01:42 2023 Epoch 31, lr: 0.0000996, val loss: 73.03761, acc: 75.51000
Sat Dec 16 01:09:12 2023 Epoch 31, lr: 0.0000996, val loss: 84.87818, acc: 70.52000
Sat Dec 16 01:18:09 2023 Epoch 32, lr: 0.0000996, val loss: 67.74614, acc: 76.77000
Sat Dec 16 01:25:50 2023 Epoch 32, lr: 0.0000996, val loss: 89.68563, acc: 68.63000
Sat Dec 16 01:34:36 2023 Epoch 33, lr: 0.0000996, val loss: 69.16147, acc: 76.23000
Sat Dec 16 01:42:28 2023 Epoch 33, lr: 0.0000996, val loss: 86.93929, acc: 69.47000
Sat Dec 16 01:51:02 2023 Epoch 34, lr: 0.0000996, val loss: 71.79899, acc: 75.09000
Sat Dec 16 01:59:07 2023 Epoch 34, lr: 0.0000996, val loss: 85.12596, acc: 70.37000
Sat Dec 16 02:07:29 2023 Epoch 35, lr: 0.0000995, val loss: 76.12511, acc: 75.01000
Sat Dec 16 02:15:45 2023 Epoch 35, lr: 0.0000995, val loss: 95.18746, acc: 68.36000
Sat Dec 16 02:23:56 2023 Epoch 36, lr: 0.0000995, val loss: 80.74404, acc: 73.54000
Sat Dec 16 02:32:24 2023 Epoch 36, lr: 0.0000995, val loss: 86.68882, acc: 69.62000
Sat Dec 16 02:40:23 2023 Epoch 37, lr: 0.0000995, val loss: 77.69127, acc: 75.16000
Sat Dec 16 02:49:02 2023 Epoch 37, lr: 0.0000995, val loss: 84.78351, acc: 70.20000
Sat Dec 16 02:56:50 2023 Epoch 38, lr: 0.0000994, val loss: 69.80125, acc: 76.64000
Sat Dec 16 03:05:41 2023 Epoch 38, lr: 0.0000994, val loss: 82.85038, acc: 71.62000
Sat Dec 16 03:13:17 2023 Epoch 39, lr: 0.0000994, val loss: 70.80853, acc: 75.47000
Sat Dec 16 03:22:20 2023 Epoch 39, lr: 0.0000994, val loss: 90.68772, acc: 68.52000
Sat Dec 16 03:29:44 2023 Epoch 40, lr: 0.0000994, val loss: 67.19367, acc: 77.15000
Sat Dec 16 03:38:59 2023 Epoch 40, lr: 0.0000994, val loss: 81.93859, acc: 71.64000
Sat Dec 16 03:46:11 2023 Epoch 41, lr: 0.0000993, val loss: 67.65079, acc: 77.18000
Sat Dec 16 03:55:38 2023 Epoch 41, lr: 0.0000993, val loss: 80.31866, acc: 72.16000
Sat Dec 16 04:02:38 2023 Epoch 42, lr: 0.0000993, val loss: 82.19205, acc: 75.09000
Sat Dec 16 04:12:16 2023 Epoch 42, lr: 0.0000993, val loss: 95.85814, acc: 67.83000
Sat Dec 16 04:19:05 2023 Epoch 43, lr: 0.0000993, val loss: 70.70785, acc: 76.98000
Sat Dec 16 04:28:55 2023 Epoch 43, lr: 0.0000993, val loss: 99.91260, acc: 67.37000
Sat Dec 16 04:35:32 2023 Epoch 44, lr: 0.0000992, val loss: 69.25867, acc: 77.31000
Sat Dec 16 04:45:33 2023 Epoch 44, lr: 0.0000992, val loss: 78.36793, acc: 72.26000
Sat Dec 16 04:51:59 2023 Epoch 45, lr: 0.0000992, val loss: 75.92233, acc: 74.61000
Sat Dec 16 05:02:12 2023 Epoch 45, lr: 0.0000992, val loss: 90.87258, acc: 70.03000
Sat Dec 16 05:08:26 2023 Epoch 46, lr: 0.0000992, val loss: 61.15854, acc: 79.18000
Sat Dec 16 05:18:50 2023 Epoch 46, lr: 0.0000992, val loss: 80.93581, acc: 72.01000
Sat Dec 16 05:24:52 2023 Epoch 47, lr: 0.0000991, val loss: 70.86249, acc: 76.64000
Sat Dec 16 05:35:29 2023 Epoch 47, lr: 0.0000991, val loss: 82.34982, acc: 71.59000
Sat Dec 16 05:41:19 2023 Epoch 48, lr: 0.0000991, val loss: 62.14063, acc: 78.80000
Sat Dec 16 05:52:07 2023 Epoch 48, lr: 0.0000991, val loss: 84.16198, acc: 71.20000
Sat Dec 16 05:57:46 2023 Epoch 49, lr: 0.0000990, val loss: 65.37975, acc: 78.32000
Sat Dec 16 06:08:45 2023 Epoch 49, lr: 0.0000990, val loss: 81.10156, acc: 72.16000
Sat Dec 16 06:14:13 2023 Epoch 50, lr: 0.0000990, val loss: 68.07325, acc: 77.00000
Sat Dec 16 06:25:24 2023 Epoch 50, lr: 0.0000990, val loss: 75.94995, acc: 73.13000
Sat Dec 16 06:30:39 2023 Epoch 51, lr: 0.0000990, val loss: 65.98458, acc: 77.63000
Sat Dec 16 06:42:02 2023 Epoch 51, lr: 0.0000990, val loss: 109.26530, acc: 65.83000
Sat Dec 16 06:47:06 2023 Epoch 52, lr: 0.0000989, val loss: 62.76034, acc: 78.98000
Sat Dec 16 06:58:41 2023 Epoch 52, lr: 0.0000989, val loss: 81.58231, acc: 71.74000
Sat Dec 16 07:03:33 2023 Epoch 53, lr: 0.0000989, val loss: 67.81933, acc: 77.49000
Sat Dec 16 07:15:19 2023 Epoch 53, lr: 0.0000989, val loss: 83.10955, acc: 72.30000
Sat Dec 16 07:20:00 2023 Epoch 54, lr: 0.0000988, val loss: 65.07201, acc: 78.16000
Sat Dec 16 07:31:58 2023 Epoch 54, lr: 0.0000988, val loss: 79.34765, acc: 72.89000
Sat Dec 16 07:36:26 2023 Epoch 55, lr: 0.0000988, val loss: 73.00709, acc: 76.20000
Sat Dec 16 07:48:36 2023 Epoch 55, lr: 0.0000988, val loss: 93.23046, acc: 71.29000
Sat Dec 16 07:52:53 2023 Epoch 56, lr: 0.0000987, val loss: 68.40186, acc: 77.26000
Sat Dec 16 08:05:14 2023 Epoch 56, lr: 0.0000987, val loss: 77.34159, acc: 73.26000
Sat Dec 16 08:09:20 2023 Epoch 57, lr: 0.0000987, val loss: 77.07054, acc: 75.46000
Sat Dec 16 08:21:53 2023 Epoch 57, lr: 0.0000987, val loss: 76.33764, acc: 73.80000
Sat Dec 16 08:25:46 2023 Epoch 58, lr: 0.0000986, val loss: 68.15792, acc: 77.60000
Sat Dec 16 08:38:31 2023 Epoch 58, lr: 0.0000986, val loss: 81.59962, acc: 71.94000
Sat Dec 16 08:42:13 2023 Epoch 59, lr: 0.0000986, val loss: 66.37349, acc: 77.49000
Sat Dec 16 08:55:10 2023 Epoch 59, lr: 0.0000986, val loss: 98.40760, acc: 68.09000
Sat Dec 16 08:58:40 2023 Epoch 60, lr: 0.0000985, val loss: 66.08802, acc: 77.39000
Sat Dec 16 09:11:48 2023 Epoch 60, lr: 0.0000985, val loss: 74.74617, acc: 74.04000
Sat Dec 16 09:15:07 2023 Epoch 61, lr: 0.0000985, val loss: 58.74611, acc: 80.06000
Sat Dec 16 09:28:27 2023 Epoch 61, lr: 0.0000985, val loss: 81.44616, acc: 71.98000
Sat Dec 16 09:31:33 2023 Epoch 62, lr: 0.0000984, val loss: 67.65808, acc: 78.00000
Sat Dec 16 09:45:05 2023 Epoch 62, lr: 0.0000984, val loss: 81.00978, acc: 72.77000
Sat Dec 16 09:48:00 2023 Epoch 63, lr: 0.0000984, val loss: 63.36528, acc: 79.27000
Sat Dec 16 10:01:43 2023 Epoch 63, lr: 0.0000984, val loss: 81.28787, acc: 72.35000
Sat Dec 16 10:04:27 2023 Epoch 64, lr: 0.0000983, val loss: 62.88609, acc: 79.43000
Sat Dec 16 10:18:22 2023 Epoch 64, lr: 0.0000983, val loss: 81.09212, acc: 72.71000
Sat Dec 16 10:20:54 2023 Epoch 65, lr: 0.0000983, val loss: 66.38757, acc: 78.05000
Sat Dec 16 10:25:50 2023 Epoch 0, lr: 0.0001000, val loss: 140.42017, acc: 48.24000
Sat Dec 16 10:35:00 2023 Epoch 65, lr: 0.0000983, val loss: 89.83609, acc: 71.13000
Sat Dec 16 10:37:21 2023 Epoch 66, lr: 0.0000982, val loss: 59.65056, acc: 79.89000
Sat Dec 16 10:41:58 2023 Epoch 1, lr: 0.0001000, val loss: 122.21756, acc: 56.15000
