Date Finished, Base Config, Name, Prune Rate, Current Val Top 1, Current Val Top 5, Best Val Top 1, Best Val Top 5, Best Train Top 1, Best Train Top 5
10-18-23_06:23:13, configs/cifar10/conv6-kn-biprop-tiled-params-iterand.yaml, baseline, 0.5, 87.92, 99.49, 88.22, 99.64, 97.02, 100.00
10-18-23_06:33:59, configs/cifar10/conv6-kn-biprop-tiled-params-iterand.yaml, baseline, 0.5, 87.69, 99.42, 88.10, 99.57, 96.88, 100.00
10-18-23_07:49:12, configs/cifar10/conv6-kn-biprop-tiled-params-iterand.yaml, baseline, 0.5, 87.93, 99.53, 88.54, 99.65, 97.26, 100.00
10-18-23_16:12:17, configs/cifar10/conv6-kn-biprop-tiled-params-iterand.yaml, baseline, 0.5, 86.04, 99.43, 86.22, 99.54, 91.23, 99.83
10-18-23_18:06:26, configs/cifar10/conv6-kn-biprop-tiled-params-iterand.yaml, baseline, 0.5, 87.64, 99.52, 87.97, 99.65, 97.30, 100.00
10-18-23_21:40:26, configs/cifar10/conv6-kn-biprop-tiled-params-iterand.yaml, baseline, 0.5, 85.52, 99.40, 86.32, 99.53, 93.06, 99.92
10-18-23_23:16:42, configs/cifar10/conv6-kn-biprop-tiled-params-iterand.yaml, baseline, 0.5, 83.43, 99.11, 84.19, 99.41, 88.45, 99.70
10-19-23_02:04:33, configs/cifar10/conv6-kn-biprop-tiled-params-iterand.yaml, baseline, 0.5, 75.90, 98.35, 77.80, 98.69, 78.93, 98.88
10-19-23_08:29:31, configs/cifar10/conv6-kn-biprop-tiled-params-iterand.yaml, baseline, 0.5, 87.79, 99.34, 88.13, 99.56, 97.53, 100.00
10-19-23_08:45:21, configs/cifar10/conv6-kn-biprop-tiled-params-iterand.yaml, baseline, 0.5, 87.61, 99.50, 88.17, 99.63, 97.59, 100.00
10-19-23_09:15:31, configs/cifar10/conv6-kn-biprop-tiled-params-iterand.yaml, baseline, 0.5, 87.38, 99.44, 87.99, 99.65, 97.53, 100.00
10-21-23_23:17:34, configs/cifar10/conv6-kn-biprop-tiled-params-iterand.yaml, baseline, 0.5, 86.95, 99.45, 87.55, 99.62, 97.60, 100.00
10-24-23_13:17:34, configs/cifar10/conv6-kn-biprop-tiled-params-iterand.yaml, baseline, 0.0, 39.24, 87.12, 39.24, 87.12, 29.22, 79.81
10-24-23_13:18:00, configs/cifar10/conv6-kn-biprop-tiled-params-iterand.yaml, baseline, 0.0, 39.81, 88.57, 39.81, 88.57, 29.63, 79.90
10-24-23_13:22:24, configs/cifar10/conv6-kn-biprop-tiled-params-iterand.yaml, baseline, 0.0, 40.27, 88.14, 40.27, 88.14, 29.89, 79.84
11-05-23_12:53:10, configs/imagenet/resnet50-biprop-tiled-params.yaml, biprop, -1, 50.88, 76.50, 51.14, 76.50, 45.95, 70.09
11-06-23_12:55:49, configs/cifar10/conv6-kn-biprop-tiled-params-iterand.yaml, baseline, 0.5, 87.50, 99.53, 87.85, 99.64, 97.63, 100.00
11-06-23_14:09:24, configs/imagenet/resnet50-biprop-tiled-params.yaml, biprop, -1, 53.25, 78.22, 53.25, 78.22, 46.89, 70.85
11-12-23_04:26:40, configs/imagenet/resnet50-biprop-tiled-params.yaml, biprop, -1, 53.49, 77.95, 53.49, 77.95, 45.94, 70.11
11-13-23_00:00:51, configs/cifar10/conv6-kn-biprop-tiled-params-rand_only.yaml, baseline, 0.5, 9.30, 52.19, 72.62, 97.95, 71.08, 97.76
11-15-23_13:47:05, configs/imagenet/resnet50-biprop-tiled-params.yaml, biprop, -1, 47.75, 73.24, 47.75, 73.24, 44.17, 68.53
11-16-23_01:31:33, configs/cifar10/resnet34-kn-tiled-full-randtile.yaml, baseline, 0.5, 84.52, 99.27, 87.04, 99.58, 91.88, 99.88
11-16-23_16:12:10, configs/cifar10/resnet18-dense.yaml, baseline, 0.0, 94.42, 99.81, 94.44, 99.86, 100.00, 100.00
11-19-23_18:52:35, configs/cifar10/resnet18-kn-tiled-full-randtile.yaml, baseline, 0.5, 92.70, 99.64, 92.95, 99.76, 100.00, 100.00
11-20-23_05:20:08, configs/imagenet/resnet18-tiled-full-rerandtile.yaml, biprop, -1, 40.33, 65.91, 40.57, 66.37, 35.50, 59.96
11-20-23_11:20:54, configs/imagenet/resnet50-tiled-params-only-rerandtile.yaml, biprop, -1, 62.53, 84.91, 62.54, 84.91, 59.81, 81.26
11-24-23_15:26:55, configs/cifar10/vgg-kn-tiled-full-randtile-4.yaml, baseline, 0.5, 89.23, 99.71, 89.35, 99.73, 98.56, 100.00
11-24-23_16:15:42, configs/cifar10/vgg-kn-tiled-full-randtile-16.yaml, baseline, 0.5, 84.91, 99.34, 84.95, 99.45, 88.23, 99.68
11-24-23_16:21:38, configs/cifar10/vgg-kn-tiled-full-randtile-8.yaml, baseline, 0.5, 87.46, 99.64, 87.58, 99.72, 93.93, 99.93
11-25-23_18:08:53, configs/cifar10/resnet18-kn-tiled-full-randtile-16.yaml, baseline, 0.5, 86.27, 99.48, 87.47, 99.62, 92.83, 99.92
11-25-23_19:40:25, configs/cifar10/resnet18-kn-tiled-full-randtile-8.yaml, baseline, 0.5, 90.47, 99.56, 90.90, 99.77, 99.52, 100.00
11-26-23_03:16:56, configs/cifar10/vgg-kn-tiled-full-randtile-8.yaml, baseline, 0.5, 89.84, 99.70, 89.87, 99.76, 97.27, 100.00
11-26-23_07:04:28, configs/cifar10/vgg-kn-tiled-full-randtile-4.yaml, baseline, 0.5, 91.21, 99.72, 91.28, 99.80, 99.91, 100.00
11-29-23_02:13:37, configs/cifar10/resnet18-kn-tiled-full-randtile-4-norerand.yaml, baseline, 0.5, 64.53, 97.08, 64.65, 97.22, 64.72, 97.02
11-29-23_05:33:45, configs/cifar10/resnet18-kn-tiled-full-randtile-4-norerand.yaml, baseline, 0.5, 75.30, 98.53, 75.30, 98.55, 76.26, 98.67
11-29-23_11:57:45, configs/cifar10/resnet18-kn-tiled-full-randtile-4-norerand.yaml, baseline, 0.5, 90.19, 99.72, 90.35, 99.75, 96.63, 99.98
11-29-23_13:27:08, configs/cifar10/resnet18-kn-tiled-full-randtile-4-norerand.yaml, baseline, 0.5, 90.55, 99.68, 90.55, 99.74, 96.70, 99.98
11-29-23_17:45:15, configs/cifar10/resnet18-kn-tiled-full-randtile-4-norerand.yaml, baseline, 0.5, 90.24, 99.71, 90.55, 99.77, 97.23, 99.99
11-30-23_17:43:13, configs/cifar10/resnet18-kn-tiled-full-randtile-4-norerand.yaml, baseline, 0.0, 90.62, 99.69, 91.00, 99.73, 97.92, 100.00
12-01-23_01:11:57, configs/cifar10/resnet18-kn-tiled-full-randtile-4-norerand.yaml, baseline, 0.0, 90.90, 99.67, 91.25, 99.75, 97.79, 100.00
12-01-23_01:12:18, configs/cifar10/resnet18-kn-tiled-full-randtile-4-norerand.yaml, baseline, 0.0, 93.01, 99.75, 93.07, 99.77, 99.92, 100.00
12-03-23_04:17:08, configs/cifar10/vgg-kn-tiled-4.yaml, baseline, 0.0, 58.50, 95.67, 58.87, 95.83, 56.58, 95.07
12-03-23_11:13:51, configs/cifar10/vgg-kn-tiled-16.yaml, baseline, 0.0, 59.57, 95.71, 59.66, 95.86, 57.29, 95.15
12-03-23_11:16:32, configs/cifar10/vgg-kn-tiled-8.yaml, baseline, 0.0, 58.96, 95.75, 59.23, 96.03, 57.18, 94.92
12-03-23_15:41:39, configs/cifar10/resnet34-kn-tiled-8.yaml, baseline, 0.0, 71.16, 97.38, 71.42, 97.41, 71.32, 97.29
12-03-23_15:45:29, configs/cifar10/resnet34-kn-tiled-4.yaml, baseline, 0.0, 72.23, 97.53, 72.39, 97.53, 71.68, 97.28
12-03-23_16:50:42, configs/cifar10/resnet34-kn-tiled-16.yaml, baseline, 0.0, 71.35, 97.12, 71.68, 97.34, 71.17, 97.28
12-03-23_19:09:25, configs/cifar10/vgg-kn-tiled-4.yaml, baseline, 0.0, 45.15, 86.50, 45.45, 86.86, 44.63, 86.23
12-03-23_21:57:47, configs/cifar10/resnet18-kn-tiled-4.yaml, baseline, 0.0, 84.60, 99.33, 85.32, 99.42, 90.72, 99.80
12-04-23_01:06:33, configs/cifar10/resnet18-kn-tiled-32.yaml, baseline, 0.0, 67.96, 97.47, 68.07, 97.59, 67.66, 97.39
12-04-23_01:29:04, configs/cifar10/resnet18-kn-tiled-8.yaml, baseline, 0.0, 68.28, 97.59, 68.43, 97.73, 66.98, 97.27
12-04-23_03:23:00, configs/cifar10/resnet18-kn-tiled-4.yaml, baseline, 0.0, 63.72, 96.79, 63.98, 96.85, 62.80, 96.40
