Date Finished, Base Config, Name, Prune Rate, Current Val Top 1, Current Val Top 5, Best Val Top 1, Best Val Top 5, Best Train Top 1, Best Train Top 5
12-12-23_14:13:20, configs/cifar10/vgg-kn-tiled-8.yaml, baseline, 0.0, 90.31, 99.62, 90.45, 99.72, 97.19, 100.00
12-13-23_01:40:18, configs/cifar10/resnet18-kn-tiled-16.yaml, baseline, 0.0, 91.25, 99.64, 91.36, 99.74, 98.61, 100.00
12-13-23_07:23:54, configs/cifar10/vgg-kn-tiled-4.yaml, baseline, 0.0, 91.73, 99.65, 92.22, 99.80, 99.66, 100.00
12-13-23_10:05:40, configs/cifar10/vgg-kn-tiled-4.yaml, baseline, 0.0, 87.07, 99.47, 88.29, 99.65, 92.49, 99.90
12-13-23_15:59:34, configs/cifar10/resnet18-kn-tiled-16.yaml, baseline, 0.0, 90.89, 99.56, 90.97, 99.64, 98.49, 100.00
12-13-23_22:35:27, configs/cifar10/vgg-kn-tiled-4.yaml, baseline, 0.0, 92.38, 99.77, 92.66, 99.85, 99.99, 100.00
12-14-23_08:04:36, configs/cifar10/vgg-kn-tiled-4.yaml, baseline, 0.0, 92.10, 99.74, 92.45, 99.82, 99.75, 100.00
12-14-23_11:37:34, configs/cifar10/vgg-kn-tiled-4.yaml, baseline, 0.0, 91.91, 99.72, 92.05, 99.82, 99.77, 100.00
12-14-23_13:17:01, configs/cifar10/vgg-kn-tiled-16.yaml, baseline, 0.0, 87.96, 99.48, 88.24, 99.61, 92.95, 99.90
12-14-23_15:09:31, configs/cifar10/vgg-kn-tiled-16.yaml, baseline, 0.0, 88.32, 99.59, 88.62, 99.63, 93.79, 99.92
12-14-23_16:42:24, configs/cifar10/resnet50-kn-tiled-4.yaml, baseline, 0.0, 94.57, 99.74, 94.74, 99.84, 100.00, 100.00
12-14-23_16:50:05, configs/cifar10/resnet50-kn-tiled-8.yaml, baseline, 0.0, 93.84, 99.75, 94.00, 99.83, 100.00, 100.00
12-14-23_19:27:18, configs/cifar10/resnet50-kn-tiled-4.yaml, baseline, 0.0, 94.53, 99.78, 94.66, 99.83, 100.00, 100.00
12-14-23_20:12:04, configs/cifar10/vgg-kn-tiled-16.yaml, baseline, 0.0, 87.62, 99.43, 88.10, 99.58, 93.16, 99.89
12-14-23_20:34:53, configs/cifar10/resnet50-kn-tiled-4.yaml, baseline, 0.0, 94.80, 99.84, 94.95, 99.89, 100.00, 100.00
12-14-23_21:32:19, configs/cifar10/vgg-kn-tiled-16.yaml, baseline, 0.0, 88.39, 99.54, 88.67, 99.60, 93.83, 99.93
12-14-23_21:37:07, configs/cifar10/resnet50-kn-tiled-8.yaml, baseline, 0.0, 93.56, 99.76, 93.70, 99.89, 99.99, 100.00
12-14-23_22:43:53, configs/cifar10/resnet50-kn-tiled-8.yaml, baseline, 0.0, 94.09, 99.75, 94.31, 99.86, 100.00, 100.00
12-16-23_06:05:37, configs/cifar10/vgg-kn-tiled-16.yaml, baseline, 0.0, 87.60, 99.60, 88.10, 99.67, 92.89, 99.90
12-16-23_06:06:14, configs/cifar10/vgg-kn-tiled-8.yaml, baseline, 0.0, 90.79, 99.51, 90.86, 99.72, 99.07, 100.00
12-18-23_18:54:56, configs/cifar10/resnet50-kn-tiled-16.yaml, baseline, 0.0, 89.73, 99.71, 91.24, 99.80, 97.08, 100.00
12-19-23_05:38:32, configs/cifar10/resnet50-kn-tiled-16.yaml, baseline, 0.0, 89.14, 99.67, 91.54, 99.78, 97.14, 100.00
12-20-23_21:27:04, configs/cifar10/resnet50-kn-tiled-4.yaml, baseline, 0.0, 94.80, 99.84, 94.95, 99.89, 100.00, 100.00
12-21-23_00:00:28, configs/cifar10/vgg-kn-tiled-8.yaml, baseline, 0.0, 90.71, 99.63, 91.03, 99.72, 99.36, 100.00
12-21-23_00:16:45, configs/cifar10/vgg-kn-tiled-16.yaml, baseline, 0.0, 88.65, 99.59, 88.74, 99.63, 94.40, 99.95
12-21-23_11:34:58, configs/cifar10/vgg-kn-tiled-8.yaml, baseline, 0.0, 90.67, 99.62, 91.03, 99.73, 99.39, 100.00
12-21-23_15:07:59, configs/cifar10/vgg-kn-tiled-16.yaml, baseline, 0.0, 88.52, 99.50, 88.75, 99.65, 94.35, 99.94
12-22-23_18:51:38, configs/cifar10/resnet50-kn-tiled-4.yaml, baseline, 0.0, 94.17, 99.39, 94.26, 99.48, 100.00, 100.00
12-23-23_12:40:36, configs/cifar10/resnet50-kn-tiled-16.yaml, baseline, 0.0, 93.48, 99.79, 93.51, 99.87, 99.95, 100.00
12-24-23_05:08:43, configs/cifar10/resnet50-kn-tiled-16.yaml, baseline, 0.0, 93.70, 99.79, 93.70, 99.84, 99.92, 100.00
