Wall time,Step,Value
1702242799.1596415,0,37.279998779296875
1702242979.2410305,1,45.459999084472656
1702243149.9265738,2,50.22999954223633
1702243341.8019586,3,49.27000045776367
1702243510.4267917,4,51.779998779296875
1702243695.974389,5,63.81999969482422
1702243876.172583,6,63.88999938964844
1702244064.3973951,7,66.63999938964844
1702244236.162624,8,67.25
1702244422.8704615,9,67.13999938964844
1702244586.3048844,10,69.79000091552734
1702244773.1372035,11,68.5199966430664
1702244937.089358,12,70.30999755859375
1702245123.2504828,13,72.79000091552734
1702245302.6634567,14,71.47000122070312
1702245484.6613128,15,72.87999725341797
1702245672.5348787,16,68.98999786376953
1702245853.9108646,17,73.22000122070312
1702246042.422427,18,71.86000061035156
1702246215.965548,19,74.93000030517578
1702246403.0497417,20,77.6500015258789
1702246591.0436199,21,72.79000091552734
1702246772.4545918,22,75.06999969482422
1702246954.6690166,23,77.4800033569336
1702247136.096474,24,72.87000274658203
1702247317.4641836,25,70.91999816894531
1702247499.7355418,26,79.37000274658203
1702247681.2103515,27,72.69999694824219
1702247863.442388,28,67.05000305175781
1702248044.81558,29,76.93000030517578
1702248226.6673515,30,76.0199966430664
1702248408.4839056,31,73.58000183105469
1702248581.3968265,32,78.11000061035156
1702248763.7428906,33,74.95999908447266
1702248945.2735217,34,74.18000030517578
1702249127.520925,35,79.19999694824219
1702249308.8698406,36,75.83999633789062
1702249490.9277453,37,78.86000061035156
1702249672.4134667,38,76.70999908447266
1702249853.935062,39,77.72000122070312
1702250036.0824025,40,73.05000305175781
1702250217.4166446,41,79.41000366210938
1702250405.2149289,42,77.20999908447266
1702250586.65191,43,79.08000183105469
1702250767.950756,44,78.83000183105469
1702250950.199335,45,75.4800033569336
1702251131.6003206,46,75.3499984741211
1702251313.7336864,47,78.30999755859375
1702251486.948322,48,74.02999877929688
1702251669.1324341,49,77.8499984741211
1702251850.5349388,50,75.94999694824219
1702252031.902647,51,78.70999908447266
1702252214.0476916,52,79.69999694824219
1702252401.301093,53,79.66000366210938
1702252575.59994,54,78.38999938964844
1702252757.0718117,55,80.55000305175781
1702252944.3037803,56,76.02999877929688
1702253126.5186362,57,79.13999938964844
1702253307.8348525,58,78.55000305175781
1702253490.111654,59,79.20999908447266
1702253671.3305035,60,80.22000122070312
1702253853.0595958,61,80.51000213623047
1702254034.7981455,62,80.48999786376953
1702254216.0986843,63,81.41000366210938
1702254404.5928679,64,80.48999786376953
1702254585.938861,65,80.16000366210938
1702254767.5514843,66,81.22000122070312
1702254949.530832,67,80.29000091552734
1702255131.0300424,68,81.18000030517578
1702255313.2216067,69,81.12000274658203
1702255494.6097646,70,78.41999816894531
1702255676.782116,71,78.91000366210938
1702255858.1774294,72,66.58000183105469
1702256039.4598696,73,77.33000183105469
1702256221.6380842,74,76.62000274658203
1702256402.9936676,75,76.54000091552734
1702256585.253974,76,79.83000183105469
1702256766.570816,77,82.0199966430664
1702256953.4726226,78,82.83000183105469
1702257141.12933,79,81.02999877929688
1702257322.5143178,80,70.9800033569336
1702257504.8669062,81,72.16000366210938
1702257686.2687066,82,81.36000061035156
1702257867.6165447,83,82.37000274658203
1702258049.754904,84,70.54000091552734
1702258231.0677676,85,80.91000366210938
1702258413.4502256,86,79.02999877929688
