Wall time,Step,Value
1701813027.254988,0,47.47999954223633
1701813178.310476,1,53.970001220703125
1701813329.6490905,2,59.22999954223633
1701813481.2334385,3,59.68000030517578
1701813657.6315804,4,67.23999786376953
1701813793.6286128,5,70.19000244140625
1701813961.4497066,6,68.58999633789062
1701814095.6424077,7,76.94999694824219
1701814268.4174767,8,74.72000122070312
1701814408.799541,9,78.1500015258789
1701814573.0002842,10,79.18000030517578
1701814757.074303,11,78.47000122070312
1701814908.560579,12,74.5
1701815063.2886624,13,74.98999786376953
1701815225.8826165,14,78.22000122070312
1701815375.8461611,15,81.01000213623047
1701815531.9468455,16,81.16000366210938
1701815705.982589,17,80.25
1701815868.0715218,18,79.44000244140625
1701816030.7702856,19,80.43000030517578
1701816184.2319334,20,81.44000244140625
1701816352.3575754,21,83.62000274658203
1701816524.3680353,22,79.0
1701816687.064258,23,80.61000061035156
1701816842.8974593,24,82.0
1701817004.8827415,25,81.88999938964844
1701817167.6230965,26,83.72000122070312
1701817332.487923,27,81.45999908447266
1701817495.229131,28,83.44999694824219
1701817657.300589,29,84.41000366210938
1701817826.4055147,30,84.11000061035156
1701817988.4391809,31,85.76000213623047
1701818165.155557,32,85.37999725341797
1701818327.1814177,33,84.66000366210938
1701818489.833094,34,84.13999938964844
1701818644.637978,35,83.75
1701818807.3655794,36,80.44000244140625
1701818969.988638,37,83.0199966430664
1701819123.4971254,38,81.33999633789062
1701819286.2132647,39,83.26000213623047
1701819448.2547116,40,83.5
1701819610.9355419,41,84.20999908447266
1701819772.8331723,42,85.88999938964844
1701819931.3345208,43,86.27999877929688
1701820099.239794,44,83.77999877929688
1701820261.227552,45,83.94999694824219
1701820423.952332,46,83.62000274658203
1701820585.9810202,47,85.58000183105469
1701820748.6579945,48,85.5
1701820910.682484,49,85.94999694824219
1701821073.3382428,50,85.37000274658203
1701821219.5004365,51,81.54000091552734
1701821381.5284488,52,84.66000366210938
1701821544.1389172,53,83.37999725341797
1701821694.5306935,54,84.25
1701821856.5544176,55,86.4800033569336
1701822024.9166117,56,86.3499984741211
1701822186.887374,57,85.26000213623047
1701822349.5810857,58,86.04000091552734
1701822511.655631,59,83.86000061035156
1701822674.290646,60,84.91999816894531
1701822836.1796024,61,85.25
1701822998.8949888,62,85.33999633789062
1701823161.4631634,63,86.20999908447266
1701823323.57129,64,85.80000305175781
1701823486.2066762,65,84.6500015258789
1701823629.5990286,66,86.66999816894531
1701823800.2617786,67,86.43000030517578
1701823955.5626755,68,84.23999786376953
1701824117.5722494,69,87.1500015258789
1701824286.746413,70,86.5199966430664
1701824448.7587957,71,86.0
1701824611.5538762,72,83.98999786376953
1701824773.608096,73,85.97000122070312
1701824936.2838106,74,85.2699966430664
1701825098.3303845,75,88.06999969482422
1701825272.391282,76,87.3499984741211
1701825425.4206765,77,86.2699966430664
1701825588.1046007,78,86.0
1701825750.7761164,79,87.05000305175781
1701825912.856401,80,86.31999969482422
1701826075.6116812,81,86.41000366210938
1701826237.5493865,82,86.37999725341797
1701826400.2632458,83,87.16000366210938
1701826562.284692,84,86.52999877929688
1701826724.9118252,85,86.36000061035156
1701826886.8516982,86,87.97000122070312
1701827036.8813233,87,87.1500015258789
1701827199.5286171,88,87.38999938964844
1701827361.5475774,89,85.16999816894531
1701827524.1670601,90,86.33999633789062
1701827685.8397384,91,85.5999984741211
1701827848.4373825,92,87.18000030517578
1701828011.0348084,93,87.61000061035156
1701828173.0313697,94,86.62000274658203
1701828335.7691524,95,87.16000366210938
1701828497.7927215,96,86.5
1701828660.4374325,97,87.33000183105469
1701828822.4915795,98,86.05999755859375
1701828985.1591325,99,87.4000015258789
1701829147.4273858,100,88.02999877929688
1701829309.8128028,101,86.56999969482422
1701829472.4511242,102,87.36000061035156
1701829634.5484824,103,86.88999938964844
1701829797.1866634,104,87.7699966430664
1701829959.2244995,105,86.94999694824219
1701830121.8945267,106,87.20999908447266
1701830283.6989374,107,86.91999816894531
1701830446.3867934,108,84.61000061035156
1701830609.0001695,109,85.55000305175781
1701830771.0454717,110,86.97000122070312
1701830933.7876947,111,88.75
1701831104.782455,112,86.83000183105469
1701831267.489114,113,87.01000213623047
1701831429.5231538,114,88.7300033569336
1701831592.142745,115,87.77999877929688
1701831754.1926134,116,86.36000061035156
1701831916.8644917,117,87.7699966430664
1701832078.7271383,118,87.9000015258789
1701832234.1193945,119,87.5
1701832396.793318,120,87.33000183105469
1701832558.7481787,121,89.08999633789062
1701832728.0917218,122,88.91000366210938
1701832890.1146839,123,86.91999816894531
1701833052.8136716,124,86.87000274658203
1701833214.852633,125,86.51000213623047
1701833377.478344,126,87.30000305175781
1701833539.191417,127,86.55999755859375
1701833701.8954318,128,86.8499984741211
1701833864.504404,129,89.30999755859375
1701834035.1296465,130,88.19000244140625
1701834197.8434806,131,85.30000305175781
1701834359.7902844,132,86.87000274658203
1701834514.6286905,133,89.12000274658203
1701834676.6350753,134,87.76000213623047
1701834839.288449,135,87.0199966430664
1701835000.951716,136,86.66000366210938
1701835155.7753549,137,87.41000366210938
1701835318.4093885,138,87.80000305175781
1701835480.4186862,139,88.97000122070312
1701835643.058024,140,88.6500015258789
1701835805.0002332,141,88.47000122070312
1701835961.4241774,142,87.93000030517578
1701836124.1083064,143,89.66000366210938
1701836285.4849858,144,89.18000030517578
1701836448.2377763,145,88.12000274658203
1701836610.2376108,146,88.06999969482422
1701836772.9429927,147,88.51000213623047
